专业名称,别名,AI生存分,AI生存理由,window_score,policy_score,intl_score,employ_score,salary_score,talent_score,window_note,推荐人格,推荐理由,避坑点,last_updated
计算机科学与技术,计算机/CS/软件工程/码农,6,核心工作正在分层——底层架构和系统设计难以替代，但初级编码已被AI大幅压缩。关键是做AI管不了的那层工作。,8.7,9,8,9,9,8,政策强推数字中国，国际技术迭代快，就业薪资双高，人才缺口仍大但供给增加,系统/创造,逻辑思维强、喜欢搞清楚底层原理的人在这个行业有长期优势。AI工具反而放大了这类人的产出。,警惕「学会框架就够了」的思维——真正的护城河是系统设计能力和用AI解决复杂问题的能力，不是语法熟练度。,2026-01
人工智能,AI/机器学习/深度学习,6,训练模型和调参正在被自动化，但AI系统的架构设计、落地判断和业务理解仍高度依赖人。,9.8,10,10,9,10,10,国家战略核心，全球爆发期，中国加速追赶，薪资顶尖，人才极度稀缺,系统/创造,数学直觉强、喜欢研究系统原理的人在这个领域有天然优势。能把AI能力转化为实际产品的人最稀缺。,不要只学调包——PyTorch调参人人会，有价值的是理解模型为什么这样设计，以及如何把AI应用到真实业务场景。,2026-01
软件工程,软件/开发/程序员,6,与计算机科学类似，区别在于更偏工程实践。初级开发被AI替代风险高，系统架构师和全栈能力强的人仍紧缺。,8.7,9,8,9,9,8,与计算机类似，应用导向更明确，就业市场稳定广阔，高端人才需求旺盛,系统/执行,执行力强+逻辑清晰的人适合走工程路线。系统型适合走架构方向。,软件工程的「工程」两字是重点——毕业后做的不只是写代码，还有需求分析、测试、维护。讨厌这些环节的人会很痛苦。,2026-01
数据科学与大数据技术,数据/大数据/数据分析,5,数据清洗和基础分析已被AI工具替代。有价值的是提出正确问题和解读数据背后的业务逻辑——这是AI做不好的。,9.3,10,9,9,9,9,数据要素国策驱动，全球需求增长，分析类岗位需求大，起薪高,系统/表达,系统型负责分析，表达型负责把数据故事讲给业务方听。两者结合的人最抢手。,千万不要以为学会SQL和Python就是数据科学家。核心价值在于业务理解和决策影响力，纯技术路线的天花板很低。,2026-01
网络安全,安全/信息安全/黑客,8,攻防对抗的本质是创造性思维——攻击者不断创新，防御者需要预判未知威胁。这是AI极难替代的领域。,9.3,10,9,9,9,9,国家安全重中之重，全球威胁加剧催生需求，专业人才严重短缺,系统/创造,系统型适合安全架构和渗透测试；创造型适合漏洞挖掘和红队对抗。两类人都有广阔空间。,网络安全需要持续学习——漏洞和技术每年都在更新，不愿意自学的人会很快被淘汰。入门门槛高，但一旦进入，护城河极强。,2026-01
电子信息工程,电子/信息/通信电子,6,硬件设计和嵌入式系统需要物理世界的直觉和经验积累，AI难以完全替代。但纯软件部分的壁垒在降低。,7.7,8,7,8,8,7,信息产业基础，政策支持稳定，国际竞争激烈，就业面广，高端芯片等领域缺口大,系统/执行,系统型适合做芯片和底层架构；执行型适合做工程实现和测试。对硬件有天然兴趣的人在这个行业有长期优势。,电子信息的毕业去向分化极大——去华为中兴和去普通电子厂，薪资可以差5-10倍。学校和项目经验决定了你能进哪条赛道。,2026-01
通信工程,通信/5G/网络,5,网络规划和运维的大量工作已被自动化。真正有价值的是新技术标准的研究和系统级设计。,7.7,8,7,8,8,7,5G/6G政策驱动，国际标准竞争，就业稳定，但部分传统领域饱和,系统/执行,适合喜欢底层技术、能接受硬核数学的人。外向型人格在售前和解决方案岗位有额外优势。,通信工程在外资和互联网公司不如CS抢手，毕业后路径相对窄。除非目标明确是华为/中兴/运营商，否则要想清楚。,2026-01
自动化,自动化/控制/PLC,6,工业控制和机器人系统设计需要深厚的物理直觉和现场经验。自动化工程师负责让机器听话——这件事本身很难被机器替代。,8.0,8,8,8,8,8,智能制造与机器人核心，产业升级关键，就业良好，复合型人才紧俏,系统/执行,系统型适合控制算法研究；执行型适合现场工程实施。能把理论和现场经验结合的人最值钱。,自动化毕业生两极分化——进高端制造业薪资很好，进传统工厂维护PLC则很普通。选实习和第一份工作时行业比职位名称重要。,2026-01
机械工程,机械/制造/机械设计,5,产品结构设计和制造工艺优化需要大量经验积累和物理直觉。但标准化设计工作正在被AI和参数化软件压缩。,6.7,7,6,7,7,6,制造强国基石，传统领域稳定，智能装备方向窗口打开，整体竞争激烈,系统/执行,执行型在制造现场如鱼得水；系统型适合研发和工艺优化。对机械结构有天然兴趣是必要条件。,机械工程是「工资不高但稳定」的代名词——如果追求高薪，需要明确转向新能源汽车或机器人赛道，传统机械制造难以实现。,2026-01
土木工程,土木/建筑施工/结构,4,结构计算和施工图设计已被大量软件替代。有价值的是现场管理和复杂项目的综合判断，但这些需要多年经验积累。,5.2,6,4,6,5,4,基建高峰期过，政策转向“两新一重”，国际部分饱和，国内需求放缓，竞争激烈,执行/系统,执行型在工地管理中有优势；系统型适合结构设计。但两类人都需要做好长期在工地的心理准备。,土木工程是当下就业压力最大的工科专业之一。如果不是热爱建造本身，建议慎重考虑。转行成本高，前几年薪资偏低且工作环境艰苦。,2026-01
